link,img,product,color,brand,greenable,discounted,disc_price,orig_price,collection,label,gender,product_category,category
/en/product/t-shirt-plisse-femme-coton-bio-off-white-smallable-basics-315878,https://static.smallable.com/1717324-648x648q80/.jpg,t-shirt plisse femme coton bio,off white,smallable basics,1,0,45.0,45.0,ss,top,w,short sleeve t-shirts,top
/en/product/t-shirt-plisse-femme-coton-bio-blueberry-smallable-basics-315880,https://static.smallable.com/1717328-648x648q80/.jpg,t-shirt plisse femme coton bio,blueberry,smallable basics,1,0,45.0,45.0,ss,top,w,short sleeve t-shirts,top
/en/product/t-shirt-plisse-femme-coton-bio-blue-green-smallable-basics-315879,https://static.smallable.com/1717326-648x648q80/.jpg,t-shirt plisse femme coton bio,blue green,smallable basics,1,0,45.0,45.0,ss,top,w,short sleeve t-shirts,top
/en/product/anita-striped-blouse-ecru-vanessa-bruno-301681,https://static.smallable.com/1631688-648x648q80/.jpg,anita striped blouse,ecru,vanessa bruno,0,1,129.5,185.0,ss,top,w,long sleeve blouses,top
/en/product/pina-dress-white-birgitte-herskind-306512,https://static.smallable.com/1630520-648x648q80/.jpg,pina dress,white,birgitte herskind,0,1,99.5,199.0,ss,dress,w,long dresses,dress_overalls
/en/product/carla-light-mohair-sweater-green-roseanna-298580,https://static.smallable.com/1638339-648x648q80/.jpg,carla light mohair sweater,green,roseanna,0,1,191.4,319.0,ss,top,w,round neck jumpers,jumper
/en/product/gardener-cotton-crepe-top-brown-girls-of-dust-299610,https://static.smallable.com/1677871-648x648q80/.jpg,gardener cotton crepe top,brown,girls of dust,0,1,115.5,165.0,ss,top,w,long sleeve t-shirts,top
/en/product/shila-top-black-ulla-johnson-297481,https://static.smallable.com/1602448-648x648q80/.jpg,shila top,black,ulla johnson,0,1,385.0,550.0,ss,top,w,sleeveless tops,top
/en/product/boonie-waterproof-hat-sand-rains-310831,https://static.smallable.com/1616512-648x648q80/.jpg,boonie waterproof hat,sand,rains,0,1,16.2,27.0,ss,accessories,w,hats,accessories
/en/product/d-tortoise-sunglasses-beige-izipizi-121756,https://static.smallable.com/861528-648x648q80/d-tortoise-sunglasses.jpg,#d tortoise sunglasses,beige,izipizi,0,0,40.0,40.0,ss,accessories,w,sunglasses,accessories
/en/product/anisa-organic-cotton-tank-top-corail-orange-by-malene-birger-298892,https://static.smallable.com/1619074-648x648q80/.jpg,anisa organic cotton tank top,corail orange,by malene birger,1,1,42.0,70.0,ss,top,w,tank tops,top
/en/product/rosa-quartz-necklace-rosewood-bohemian-rhapsodie-229683,https://static.smallable.com/1281542-648x648q80/rosa-quartz-necklace.jpg,rosa quartz necklace ,rosewood,bohemian rhapsodie paris,0,1,119.0,170.0,ss,jewelry,w,necklaces,jewelry
/en/product/rosa-dress-purple-m-a-b-e-312285,https://static.smallable.com/1694624-648x648q80/.jpg,rosa dress,purple,m.a.b.e.,0,1,99.0,165.0,ss,dress,w,short dresses,bottom
/en/product/rosa-sundress-purple-m-a-b-e-312283,https://static.smallable.com/1694622-648x648q80/.jpg,rosa sundress,purple,m.a.b.e.,0,1,65.4,109.0,ss,dress,w,short dresses,bottom
/en/product/sab-rock-flowers-bag-black-frere-soeur-304229,https://static.smallable.com/1652330-648x648q80/.jpg,sab rock flowers bag ,black,herbert frere soeur,0,0,265.0,265.0,ss,bags,w,handbags,bag
/en/product/collaboration-soeur-x-leandra-cohen-bermuda-east-side-coton-ecru-soeur-322639,https://static.smallable.com/1693975-648x648q80/.jpg,collaboration soeur x leandra cohen - bermuda east side coton,ecru,soeur,0,0,145.0,145.0,ss,bottom,w,shorts,bottom
/en/product/feuillette-blouse-women-s-collection-ecru-emile-et-ida-311381,https://static.smallable.com/1707827-648x648q80/.jpg,feuillette blouse - women's collection ,ecru,emile et ida,0,1,69.5,139.0,ss,top,w,long sleeve blouses,top
/en/product/feather-silk-blouse-women-s-collection-ecru-emile-et-ida-311378,https://static.smallable.com/1707825-648x648q80/.jpg,feather silk blouse - women's collection ,ecru,emile et ida,0,1,74.5,149.0,ss,top,w,long sleeve blouses,top
/en/product/check-fanny-pack-blue-rose-in-april-316432,https://static.smallable.com/1650612-648x648q80/.jpg,check fanny pack,blue,rose in april,1,0,45.0,45.0,ss,bags,w,fanny packs,bag
/en/product/the-lost-dreamer-ring-gold-alighieri-295512,https://static.smallable.com/1585048-648x648q80/.jpg,the lost dreamer ring,gold,alighieri,1,1,248.5,355.0,ss,jewelry,w,rings,jewelry
/en/product/silence-earrings-lilac-apres-ski-248445,https://static.smallable.com/1342092-648x648q80/.jpg,silence earrings,lilac,apres ski,0,0,79.0,79.0,ss,jewelry,w,earrings,jewelry
/en/product/organic-cotton-tank-top-golden-brown-smallable-basics-315876,https://static.smallable.com/1702785-648x648q80/.jpg,organic cotton tank top,golden brown,smallable basics,1,1,39.2,49.0,ss,top,w,tank tops,top
/en/product/organic-cotton-tank-top-mastic-smallable-basics-315875,https://static.smallable.com/1702783-648x648q80/.jpg,organic cotton tank top,mastic,smallable basics,1,0,49.0,49.0,ss,top,w,tank tops,top
/en/product/t-shirt-boxy-femme-coton-bio-off-white-smallable-basics-315858,https://static.smallable.com/1702714-648x648q80/.jpg,t-shirt boxy femme coton bio,off white,smallable basics,1,0,39.0,39.0,ss,top,w,short sleeve t-shirts,top
/en/product/organic-cotton-tank-top-yellow-green-smallable-basics-315874,https://static.smallable.com/1702781-648x648q80/.jpg,organic cotton tank top,yellow green,smallable basics,1,1,39.2,49.0,ss,top,w,tank tops,top
/en/product/t-shirt-boxy-femme-coton-bio-terracotta-smallable-basics-315861,https://static.smallable.com/1702720-648x648q80/.jpg,t-shirt boxy femme coton bio,terracotta,smallable basics,1,0,39.0,39.0,ss,top,w,short sleeve t-shirts,top
/en/product/t-shirt-boxy-femme-coton-bio-coral-smallable-basics-315860,https://static.smallable.com/1702718-648x648q80/.jpg,t-shirt boxy femme coton bio,coral,smallable basics,1,0,39.0,39.0,ss,top,w,short sleeve t-shirts,top
/en/product/sista-sari-cupro-dress-yellow-sessun-302201,https://static.smallable.com/1679701-648x648q80/.jpg,sista sari cupro dress,yellow,sessun,0,1,117.0,195.0,ss,dress,w,long dresses,dress_overalls
/en/product/t-shirt-boxy-femme-coton-bio-green-smallable-basics-315859,https://static.smallable.com/1702716-648x648q80/.jpg,t-shirt boxy femme coton bio,green,smallable basics,1,0,39.0,39.0,ss,top,w,short sleeve t-shirts,top
/en/product/organic-cotton-tank-top-blue-smallable-basics-315877,https://static.smallable.com/1702787-648x648q80/.jpg,organic cotton tank top,blue,smallable basics,1,0,49.0,49.0,ss,top,w,tank tops,top
/en/product/chemise-femme-a-manches-courtes-en-popeline-organique-off-white-smallable-basics-316012,https://static.smallable.com/1700485-648x648q80/.jpg,chemise femme a manches courtes en popeline organique,off white,smallable basics,1,1,60.0,75.0,ss,top,w,short sleeve shirts,top
/en/product/chemise-femme-a-manches-courtes-en-popeline-organique-siena-smallable-basics-316013,https://static.smallable.com/1700487-648x648q80/.jpg,chemise femme a manches courtes en popeline organique,siena,smallable basics,1,0,75.0,75.0,ss,top,w,short sleeve shirts,top
/en/product/chemise-femme-a-manches-courtes-en-popeline-organique-purple-smallable-basics-316011,https://static.smallable.com/1700483-648x648q80/.jpg,chemise femme a manches courtes en popeline organique,purple,smallable basics,1,0,75.0,75.0,ss,top,w,short sleeve shirts,top
/en/product/custine-recycled-cotton-belt-bag-xl-ochre-rive-droite-295687,https://static.smallable.com/1535242-648x648q80/.jpg,custine recycled cotton belt bag - xl,ochre,rivedroite,1,0,75.0,75.0,ss,accessories,w,fanny packs,accessories
/en/product/d-sunglasses-green-izipizi-93439,https://static.smallable.com/746594-648x648q80/d-sunglasses.jpg,#d sunglasses,green,izipizi,0,0,40.0,40.0,ss,accessories,w,sunglasses,accessories
/en/product/c-sunglasses-navy-blue-izipizi-93426,https://static.smallable.com/746648-648x648q80/c-sunglasses.jpg,#c sunglasses,navy blue,izipizi,0,0,40.0,40.0,ss,accessories,w,sunglasses,accessories
/en/product/lulu-calfskin-handbag-s-orange-jerome-dreyfuss-301005,https://static.smallable.com/1575173-648x648q80/.jpg,lulu calfskin handbag - s,orange,jerome dreyfuss,0,0,530.0,530.0,ss,bags,w,handbags,bag
/en/product/casquette-sunflare-trucker-olive-green-deux-ex-machina-305916,https://static.smallable.com/1615381-648x648q80/.jpg,casquette sunflare trucker,olive green,deus ex machina,0,1,23.4,39.0,ss,accessories,w,caps,accessories
