link,img,product,color,brand,greenable,discounted,disc_price,orig_price,collection
/en/product/super-stitious-t-shirt-green-deux-ex-machina-305889,https://static.smallable.com/1680659-648x648q80/.jpg,super stitious t-shirt,green,deus ex machina,1,1,41.4,69.0,ss
/en/product/conrad-heart-logo-sweater-navy-blue-arte-302358,https://static.smallable.com/1642838-648x648q80/.jpg,conrad heart logo sweater,navy blue,arte antwerp,0,1,57.0,95.0,ss
/en/product/roger-block-1858-jacket-ecru-nn07-305786,https://static.smallable.com/1673763-648x648q80/.jpg,roger block 1858 jacket,ecru,nn07,0,1,162.0,270.0,ss
/en/product/dozborow-sweater-ecru-american-vintage-305692,https://static.smallable.com/1620596-648x648q80/.jpg,dozborow sweater,ecru,american vintage,1,1,75.0,125.0,ss
/en/product/linen-palm-shirt-khaki-hartford-314474,https://static.smallable.com/1676259-648x648q80/.jpg,linen palm shirt ,khaki,hartford,0,0,139.0,139.0,ss
/en/product/element-x-bisous-le-cercle-t-shirt-blue-element-306563,https://static.smallable.com/1633043-648x648q80/.jpg,element x bisous le cercle t-shirt,blue,element,1,1,20.0,50.0,ss
/en/product/lcff-source-organic-cotton-t-shirt-white-avnier-313216,https://static.smallable.com/1672921-648x648q80/.jpg,lcff source organic cotton t-shirt,white,avnier,1,1,35.4,59.0,ss
/en/product/palm-shirt-navy-blue-hartford-314476,https://static.smallable.com/1676268-648x648q80/.jpg,palm shirt,navy blue,hartford,0,1,89.4,149.0,ss
/en/product/crew-pull-navy-blue-hartford-314496,https://static.smallable.com/1672934-648x648q80/.jpg,crew pull,navy blue,hartford,0,1,119.4,199.0,ss
/en/product/boucle-track-jacket-navy-blue-hartford-314494,https://static.smallable.com/1676310-648x648q80/.jpg,boucle track jacket,navy blue,hartford,0,1,93.0,155.0,ss
/en/product/black-jack-shirt-ecru-carhartt-302276,https://static.smallable.com/1695743-648x648q80/.jpg,black jack shirt,ecru,carhartt wip,0,1,59.4,99.0,ss
/en/product/newel-regular-pants-ecru-carhartt-302258,https://static.smallable.com/1671751-648x648q80/.jpg,newel regular pants,ecru,carhartt wip,0,1,59.4,99.0,ss
/en/product/flint-straight-leg-trousers-steel-carhartt-302260,https://static.smallable.com/1592369-648x648q80/.jpg,flint straight-leg trousers,steel,carhartt wip,1,1,53.4,89.0,ss
/en/product/weldon-denim-shirt-denim-blue-carhartt-302272,https://static.smallable.com/1592288-648x648q80/.jpg,weldon denim shirt ,denim blue,carhartt wip,0,1,65.4,109.0,ss
