link,img,product,color,brand,greenable,discounted,disc_price,orig_price
/en/product/almond-double-cotton-muslin-blouse-women-s-collection-peach-poudre-organic-271524,https://static.smallable.com/1436337-648x648q80/.jpg,almond double cotton muslin blouse - women’s collection ,peach,poudre organic,1,0,75.0,75.0
/en/product/silk-eye-mask-dusty-pink-nonchalance-248557,https://static.smallable.com/1352345-648x648q80/.jpg,silk eye mask,dusty pink,nonchalance,1,0,55.0,55.0
/en/product/tencel-lite-t-shirt-dusty-pink-organic-basics-220748,https://static.smallable.com/1217107-648x648q80/tencel-lite-t-shirt.jpg,tencel lite t-shirt ,dusty pink,organic basics,1,0,55.0,55.0
/en/product/ayin-opal-necklace-pink-bohemian-rhapsodie-276237,https://static.smallable.com/1463453-648x648q80/.jpg,ayin opal necklace,pink,bohemian rhapsodie paris,0,0,195.0,195.0
/en/product/ayin-pink-opal-earring-pink-bohemian-rhapsodie-276245,https://static.smallable.com/1463475-648x648q80/.jpg,ayin pink opal earring,pink,bohemian rhapsodie paris,0,0,95.0,95.0
/en/product/tsikis-x-alma-deia-exclusive-marcia-earrings-orange-alma-deia-314801,https://static.smallable.com/1642047-648x648q80/.jpg,tsikis x alma deia exclusive - marcia earrings,orange,alma deia,0,1,124.0,155.0
/en/product/check-fanny-pack-khaki-rose-in-april-316431,https://static.smallable.com/1692854-648x648q80/.jpg,check fanny pack,khaki,rose in april,1,0,45.0,45.0
/en/product/amma-earrings-green-5-octobre-228168,https://static.smallable.com/1258743-648x648q80/amma-earrings.jpg,amma earrings ,green,5 octobre,0,0,260.0,260.0
/en/product/bangle-earrings-midnight-blue-bangle-up-154645,https://static.smallable.com/990534-648x648q80/bangle-earrings.jpg,bangle earrings,midnight blue,bangle up,1,0,60.0,60.0
/en/product/sinoe-design-pouch-royal-blue-guanabana-264485,https://static.smallable.com/1394432-648x648q80/.jpg,sinoe design pouch,royal blue,guanabana,1,0,125.0,125.0
/en/product/sacha-turquoise-necklace-turquoise-gachon-pothier-275394,https://static.smallable.com/1451143-648x648q80/.jpg,sacha turquoise necklace,turquoise,gachon pothier,1,0,190.0,190.0
/en/product/check-fanny-pack-caramel-rose-in-april-316430,https://static.smallable.com/1670666-648x648q80/.jpg,check fanny pack,caramel,rose in april,1,0,45.0,45.0
/en/product/collaboration-soeur-x-leandra-cohen-chemise-west-side-ecru-soeur-322638,https://static.smallable.com/1693977-648x648q80/.jpg,collaboration soeur x leandra cohen - chemise west side,ecru,soeur,0,0,165.0,165.0
/en/product/geometric-recycled-material-bikini-bottoms-women-s-collection-blue-juillet-juillet-316963,https://static.smallable.com/1679781-648x648q80/.jpg,geometric recycled material bikini bottoms - women's collection,blue,juillet juillet,0,0,79.0,79.0
/en/product/landscape-yoga-mat-pink-yuj-227173,https://static.smallable.com/1241753-648x648q80/landscape-yoga-mat.jpg,landscape yoga mat ,pink,yuj,1,0,75.0,75.0
/en/product/pink-gradient-yoga-mat-pink-yuj-227184,https://static.smallable.com/1581401-648x648q80/pink-gradient-yoga-mat.jpg,pink gradient yoga mat ,pink,yuj,1,0,75.0,75.0
/en/product/softee-tank-top-navy-blue-yuj-302089,https://static.smallable.com/1581421-648x648q80/.jpg,softee tank top,navy blue,yuj,1,0,59.0,59.0
/en/product/anti-uv-recycled-material-geometric-cropped-top-women-s-collection-blue-juillet-juillet-316967,https://static.smallable.com/1679783-648x648q80/.jpg,anti uv recycled material geometric cropped top - women's collection,blue,juillet juillet,0,0,89.0,89.0
